,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
32,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
37,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
39,Adrar,MR,81.9,overcast clouds,20.5022,-10.0711,
59,Bathsheba,BB,80.15,few clouds,13.2167,-59.5167,Atlantis Hotel
68,Sur,OM,85.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
80,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Cockburn Town,TC,83.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
94,Chiang Klang,TH,86.77,clear sky,19.2938,100.8617,Sangthong Resort
109,Jaunpur,IN,80.62,clear sky,25.7333,82.6833,Hotel Varun
119,Espana,PH,84.11,overcast clouds,12.3841,122.499,The Boathouse | Sibuyan Island
122,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
123,Port Hedland,AU,93.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
131,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
132,Bengkulu,ID,81.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
142,Lorengau,PG,85.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Butaritari,KI,81.3,few clouds,3.0707,172.7902,Isles Sunset Lodge
148,Victoria,HK,85.96,scattered clouds,22.2855,114.1577,Mini Central
151,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
170,Tura,IN,81.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
171,Auki,SB,83.61,overcast clouds,-8.7676,160.7034,Auki Motel
177,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
182,Melur,IN,80.42,overcast clouds,10.05,78.3333,hotel temple city
195,Santo Tomas,PH,89.85,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
198,Karratha,AU,88.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
206,Nhulunbuy,AU,89.98,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
214,Mount Isa,AU,89.13,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
217,Yulara,AU,90.99,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
220,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
223,Port Keats,AU,93.07,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
226,Mozarlandia,BR,82.42,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
230,Cukai,MY,87.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
237,Thoen,TH,84.97,few clouds,17.6129,99.2161,บ้านห้องนอน
245,Bambanglipuro,ID,81.39,light rain,-7.95,110.2833,Puri Brata
249,Kupang,ID,90.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
252,Norsup,VU,80.8,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
253,Kirakira,SB,84.09,overcast clouds,-10.4544,161.9205,SanBiz Lodge
260,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
278,Kota Belud,MY,83.3,heavy intensity rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
281,Nabire,ID,87.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
282,Calape,PH,87.78,broken clouds,9.8922,123.8748,Calape Forest Resort
287,Kloulklubed,PW,81.54,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
296,Kavieng,PG,83.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
299,Suba,PH,83.79,overcast clouds,10.8438,121.0102,Jarnchi Pension House
305,Nishihara,JP,83.48,mist,26.1842,127.7558,Minshuku Agaihama
307,Nakhon Sawan,TH,83.08,few clouds,15.7,100.0833,The Paradiso JK Design Hotel Nakhon Sawan.
311,Namatanai,PG,86.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
314,Bubaque,GW,80.94,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Mecca,SA,80.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
319,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
348,Razole,IN,85.03,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
354,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
356,Maningrida,AU,94.93,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
374,Dawei,MM,87.1,broken clouds,14.0833,98.2,Hotel Dawei
385,Ibra,OM,81.9,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
404,Tual,ID,84.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
415,Paciran,ID,85.64,moderate rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
425,Samarai,PG,84.81,scattered clouds,-10.6167,150.6667,Nuli Sapi
428,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
430,Luwuk,ID,88.54,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
439,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
444,Hambantota,LK,81.86,overcast clouds,6.1241,81.1185,Bungalow 63
448,Dingle,PH,87.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
449,Balabac,PH,85.37,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
450,Finschhafen,PG,86.49,broken clouds,-6.6024,147.8681,Oasis Gagidu Ltd
467,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
477,Atar,MR,84.31,broken clouds,20.5169,-13.0499,Oumou Elghoura
483,Atambua,ID,87.15,scattered clouds,-9.1061,124.8925,Ros Muskanan
494,Thinadhoo,MV,82.24,overcast clouds,0.5333,72.9333,
497,Biloela,AU,81.82,broken clouds,-24.4167,150.5,Silo Motor Inn Biloela
504,Japura,ID,91.94,broken clouds,-0.3167,102.35,Rumah mbah Jamah
507,Bantou,CN,82.96,scattered clouds,26.2151,117.4893,
508,Napasar,IN,84.94,clear sky,27.9667,73.55,Laxmi Palace
509,Biak,ID,85.87,broken clouds,-0.9131,122.8766,Penginapan Kim
517,Baherden,TM,80.28,broken clouds,38.4362,57.4316,
518,Edd,ER,86.52,clear sky,13.9297,41.6925,
522,Kiunga,PG,86.13,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
530,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
531,Bakel,SN,82.6,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
534,Caibiran,PH,86.9,overcast clouds,11.5717,124.5822,Felans Pension House
541,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
543,Phuket,TH,84.42,light rain,8.0,98.25,The Surin
544,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
550,Kapit,MY,93.33,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
552,Sulangan,PH,83.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
566,Lasem,ID,86.58,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
570,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
572,Candolim,IN,81.66,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
577,Saint-Louis,SN,82.08,clear sky,16.3333,-15.0,
578,Abu Dhabi,AE,82.96,clear sky,24.4667,54.3667,Beach Rotana
586,San Pedro,PH,90.63,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
594,Gaurnadi,BD,83.98,clear sky,22.9667,90.2333,মোল্লা বারি
595,Banda Aceh,ID,81.18,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
606,Denpasar,ID,87.46,light rain,-8.65,115.2167,OYO 3156 Hotel Warta Dua
608,Niquelandia,BR,81.37,overcast clouds,-14.4739,-48.4597,Hotel Suinã
613,Bac Lieu,VN,84.06,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
616,Waingapu,ID,87.66,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
625,Pandan,PH,83.86,overcast clouds,14.0453,124.1694,Bonifacio Lodge
632,Goundam,ML,85.96,overcast clouds,16.4145,-3.6708,
634,Savannah Bight,HN,80.56,moderate rain,16.45,-85.85,Villa on Dunbar Rock
635,Gizo,SB,83.84,moderate rain,-8.103,156.8419,Imagination Island
647,Mangrol,IN,84.4,clear sky,21.1167,70.1167,Hotel The Royal Honours
