,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Champerico,GT,14.3,-91.9167,78.94,85,90,3.06,moderate rain
331,Souillac,MU,-20.5167,57.5167,73.78,78,40,8.05,scattered clouds
332,Fraserburgh,GB,57.6874,-2.0184,52.12,97,100,18.95,overcast clouds
333,Nanortalik,GL,60.1432,-45.2371,38.12,63,100,1.97,overcast clouds
334,Hamilton,US,39.1834,-84.5333,47.77,50,0,9.22,clear sky
335,Khatanga,RU,71.9667,102.5,10.24,92,46,3.83,scattered clouds
336,Zaraza,VE,9.3503,-65.3245,74.89,94,61,4.41,broken clouds
337,Pacatuba,BR,-3.9842,-38.6203,78.46,83,91,8.43,overcast clouds
338,Brae,GB,60.3964,-1.353,49.21,79,100,18.84,overcast clouds
339,Maur,IN,30.0833,75.25,77.5,45,0,3.76,clear sky
340,Thomaston,US,32.8882,-84.3266,44.91,73,0,0.0,clear sky
341,Gat,IL,31.61,34.7642,70.48,100,67,5.06,broken clouds
342,Yumen,CN,40.2833,97.2,50.07,31,1,10.76,clear sky
343,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,8.05,broken clouds
344,Gamboma,CG,-1.8764,15.8644,69.69,96,100,2.19,overcast clouds
345,Yar-Sale,RU,66.8333,70.8333,32.07,97,100,14.36,light snow
346,Matagami,CA,49.7502,-77.6328,32.11,100,100,9.22,overcast clouds
347,Boden,SE,65.8252,21.6886,41.0,94,100,4.81,overcast clouds
348,Razole,IN,16.4833,81.8333,85.03,67,82,8.75,broken clouds
349,Aklavik,CA,68.2191,-135.0107,17.58,98,100,1.68,overcast clouds
350,Omaruru,NA,-21.4333,15.9333,74.75,34,73,3.98,broken clouds
351,Ahipara,NZ,-35.1667,173.1667,61.41,63,18,10.31,few clouds
352,Meadow Lake,US,34.8014,-106.5436,59.4,32,26,7.31,scattered clouds
353,Coihaique,CL,-45.5752,-72.0662,34.41,93,0,1.14,clear sky
354,Port Blair,IN,11.6667,92.75,84.24,79,75,9.22,mist
355,Porto Walter,BR,-8.2686,-72.7439,72.1,95,100,2.89,overcast clouds
356,Maningrida,AU,-12.0667,134.2667,94.93,49,95,11.23,overcast clouds
357,Sembe,CG,1.6481,14.5806,67.71,100,98,1.86,overcast clouds
358,Terney,RU,45.0503,136.6092,54.75,50,100,4.16,light rain
359,Laurel,US,39.0993,-76.8483,50.38,77,0,6.91,clear sky
360,Sobolevo,RU,54.4299,31.8996,39.83,94,100,5.26,overcast clouds
361,Paragould,US,36.0584,-90.4973,57.85,46,4,8.41,clear sky
362,Novorzhev,RU,57.0294,29.3338,41.18,95,100,4.83,overcast clouds
363,Aykhal,RU,66.0,111.5,24.35,92,27,14.47,scattered clouds
364,Angoche,MZ,-16.2325,39.9086,74.28,82,1,4.97,clear sky
365,Jiayuguan,CN,39.8167,98.3,49.98,30,6,5.93,clear sky
366,Kyzyl-Suu,KG,42.3414,78.0056,46.24,57,1,1.1,clear sky
367,Kemijarvi,FI,66.7131,27.4306,27.14,80,38,2.33,scattered clouds
368,Vostok,RU,46.4856,135.8833,51.19,52,100,3.09,overcast clouds
369,Egvekinot,RU,66.3167,-179.1667,27.68,97,100,6.76,light snow
370,San Quintin,MX,30.4833,-115.95,69.67,77,0,1.52,clear sky
371,Sao Jose De Ribamar,BR,-2.5619,-44.0542,78.58,83,27,10.83,scattered clouds
372,Margate,GB,51.3813,1.3862,59.31,96,85,4.0,overcast clouds
373,Houston,US,29.7633,-95.3633,69.3,59,20,12.66,few clouds
374,Dawei,MM,14.0833,98.2,87.1,57,77,8.08,broken clouds
375,Kabelvag,NO,68.2114,14.4817,41.02,81,100,5.19,overcast clouds
376,Karema,TZ,-6.8205,30.4389,76.98,48,99,4.23,overcast clouds
377,Oranjemund,NA,-28.55,16.4333,58.78,88,84,17.76,broken clouds
378,Balakhta,RU,55.38,91.6,40.1,89,100,11.21,overcast clouds
379,Koutsouras,GR,35.0339,25.9469,66.11,66,3,15.23,clear sky
380,Turukhansk,RU,65.8167,87.9833,34.43,98,100,15.99,light snow
381,Tigil,RU,57.8,158.6667,31.17,74,99,7.18,overcast clouds
382,Meulaboh,ID,4.1363,96.1285,74.97,94,100,7.07,overcast clouds
383,Pisco,PE,-13.7,-76.2167,58.01,82,11,2.3,mist
384,La Ronge,CA,55.1001,-105.2842,52.05,43,75,11.5,broken clouds
385,Ibra,OM,22.6906,58.5334,81.9,23,0,1.92,clear sky
386,Aksarka,RU,66.5606,67.7975,31.77,91,100,9.51,light snow
387,Ghanzi,BW,-21.5667,21.7833,67.59,36,2,9.17,clear sky
388,Dingtao,CN,35.0683,115.5625,73.15,35,7,5.91,clear sky
389,Makaha,US,21.4694,-158.2175,78.82,69,100,6.91,overcast clouds
390,Hasaki,JP,35.7333,140.8333,73.22,53,2,15.21,clear sky
391,Safford,US,32.834,-109.7076,63.52,51,0,3.44,clear sky
392,Fortuna,US,40.5982,-124.1573,52.66,85,100,0.0,overcast clouds
393,Ginir,ET,7.1333,40.7,58.42,87,33,1.92,scattered clouds
394,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,16.11,overcast clouds
395,Zaysan,KZ,47.4667,84.8667,49.39,48,93,4.25,overcast clouds
396,Inhambane,MZ,-23.865,35.3833,73.56,79,5,4.59,clear sky
397,Ballina,AU,-28.8667,153.5667,71.78,91,90,17.38,light rain
398,Cabedelo,BR,-6.9811,-34.8339,76.59,69,10,14.7,clear sky
399,Porto Santo,PT,33.072,-16.3415,70.18,94,20,5.75,few clouds
400,Qinzhou,CN,21.95,108.6167,75.87,60,91,9.6,overcast clouds
401,Husavik,IS,66.0449,-17.3389,35.6,91,100,2.82,overcast clouds
402,Enugu,NG,6.4402,7.4943,72.16,95,97,1.74,overcast clouds
403,Launceston,AU,-41.45,147.1667,67.64,72,100,3.44,overcast clouds
404,Tual,ID,-5.6667,132.75,84.2,71,95,5.55,overcast clouds
405,Lensk,RU,60.7253,114.9278,34.09,73,98,8.72,overcast clouds
406,Tahoua,NE,14.8888,5.2692,78.94,23,15,9.64,few clouds
407,Manicore,BR,-5.8092,-61.3003,74.93,93,73,0.34,broken clouds
408,Xicotencatl,MX,23.0167,-98.8833,63.9,80,9,3.78,clear sky
409,Norman Wells,CA,65.282,-126.8329,23.04,93,100,5.75,overcast clouds
410,Sioux Lookout,CA,50.1001,-91.917,42.87,70,75,4.61,broken clouds
411,Leningradskiy,RU,69.3833,178.4167,30.36,96,100,7.2,overcast clouds
412,Ninomiya,JP,35.3033,139.2533,73.33,49,18,10.18,few clouds
413,Saint-Augustin,CA,51.226,-58.6502,44.76,92,2,9.98,clear sky
414,Ahuimanu,US,21.4447,-157.8378,78.62,77,40,4.61,scattered clouds
415,Paciran,ID,-6.8767,112.3761,85.64,68,94,6.11,moderate rain
416,Port Lincoln,AU,-34.7333,135.8667,69.08,52,41,11.36,scattered clouds
417,Hirado,JP,33.3597,129.5531,68.29,55,69,4.05,broken clouds
418,Buritis,BR,-15.6178,-46.4233,78.22,40,86,1.66,overcast clouds
419,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,100,16.11,overcast clouds
420,Viedma,AR,-40.8135,-62.9967,50.65,79,96,17.45,light rain
421,Manakara,MG,-22.1333,48.0167,74.21,69,55,7.34,broken clouds
422,Port-Cartier,CA,50.0334,-66.8654,46.08,78,100,13.09,overcast clouds
423,Nexo,DK,55.0607,15.1306,50.09,68,100,19.17,overcast clouds
424,Sao Filipe,CV,14.8961,-24.4956,77.13,82,8,5.06,clear sky
425,Samarai,PG,-10.6167,150.6667,84.81,68,41,8.28,scattered clouds
426,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,10.36,overcast clouds
427,Mandera,KE,3.9366,41.867,76.78,71,83,13.42,broken clouds
428,Ambon,ID,-3.6954,128.1814,89.74,62,20,6.91,few clouds
429,Mandurah,AU,-32.55,115.7,67.98,55,75,10.49,broken clouds
430,Luwuk,ID,-0.9516,122.7875,88.54,60,64,3.36,broken clouds
431,Algiers,DZ,36.7525,3.042,62.42,100,100,2.3,fog
432,Ibotirama,BR,-12.1853,-43.2206,73.54,47,7,2.33,clear sky
433,Cap-Chat,CA,49.1001,-66.6821,48.2,57,99,11.03,overcast clouds
434,Fairbanks,US,64.8378,-147.7164,36.61,91,100,8.05,light snow
435,Porangatu,BR,-13.4408,-49.1486,79.68,32,91,1.39,overcast clouds
436,Kaeo,NZ,-35.1,173.7833,67.32,58,72,5.23,broken clouds
437,Dedougou,BF,12.4667,-3.4667,77.68,43,27,4.56,scattered clouds
438,Ostersund,SE,63.1792,14.6357,34.25,100,100,3.44,fog
439,Hirara,JP,24.8,125.2833,80.87,89,75,19.57,broken clouds
440,Kiyasovo,RU,56.3491,53.1244,30.61,92,9,6.51,clear sky
441,Winnemucca,US,40.973,-117.7357,46.45,27,0,4.61,clear sky
442,Rawson,AR,-43.3002,-65.1023,48.0,59,99,11.63,overcast clouds
443,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,79,15,8.43,few clouds
444,Hambantota,LK,6.1241,81.1185,81.86,73,99,15.9,overcast clouds
445,Shahr-E Babak,IR,30.1165,55.1186,62.64,24,71,7.36,broken clouds
446,Dire,ML,12.2833,-10.9667,72.46,87,98,2.01,overcast clouds
447,Cayenne,GF,4.9333,-52.3333,75.24,94,91,0.0,overcast clouds
448,Dingle,PH,10.9995,122.6711,87.85,66,72,4.94,broken clouds
449,Balabac,PH,7.9868,117.0645,85.37,67,99,6.42,overcast clouds
450,Finschhafen,PG,-6.6024,147.8681,86.49,64,62,7.31,broken clouds
451,Namibe,AO,-15.1961,12.1522,64.83,88,34,4.83,scattered clouds
452,Lunca Ilvei,RO,47.3667,24.9833,35.87,65,0,0.98,clear sky
453,Ngunguru,NZ,-35.6167,174.5,62.83,60,100,4.61,overcast clouds
454,Villazon,BO,-22.0866,-65.5942,40.89,38,0,1.25,clear sky
455,Leshukonskoye,RU,64.8989,45.7622,30.83,85,100,10.67,snow
456,Berlevag,NO,70.8578,29.0864,37.35,75,20,19.57,few clouds
457,San Vicente,AR,-26.6167,-54.1333,58.23,100,86,2.64,overcast clouds
458,Virginia Beach,US,36.8529,-75.978,53.02,74,0,0.0,clear sky
459,Ocos,GT,14.5094,-92.1933,75.38,84,96,5.44,light rain
460,Buchanan,LR,5.8808,-10.0467,74.71,91,65,2.01,moderate rain
461,Alofi,NU,-19.0595,-169.9187,78.69,89,87,4.61,overcast clouds
462,Buin,CL,-33.7333,-70.75,66.11,53,30,2.89,scattered clouds
463,Arman,RU,59.7,150.1667,27.93,43,9,7.05,clear sky
464,Tanabi,BR,-20.6264,-49.6492,77.29,54,100,5.53,moderate rain
465,Begamganj,IN,23.6,78.3333,74.84,53,0,6.17,clear sky
466,Kargat,RU,55.1956,80.2811,40.82,86,100,8.41,overcast clouds
467,Mogadishu,SO,2.0371,45.3438,80.47,78,40,12.66,scattered clouds
468,Biu,NG,10.6129,12.1946,70.39,37,100,2.66,overcast clouds
469,Podlesnoye,RU,51.8161,47.009,43.34,77,99,14.63,overcast clouds
470,Antsohihy,MG,-14.8796,47.9875,74.73,52,9,7.36,clear sky
471,Tygda,RU,53.1167,126.3333,39.15,39,80,9.15,broken clouds
472,Saint-Joseph,RE,-21.3667,55.6167,73.78,73,35,8.77,scattered clouds
473,Usinsk,RU,65.9939,57.5281,30.65,89,100,14.25,overcast clouds
474,Yarovoye,RU,52.9273,78.58,51.49,57,100,10.87,overcast clouds
475,Canmore,CA,51.0834,-115.3521,47.68,39,88,4.61,overcast clouds
476,Rio Gallegos,AR,-51.6226,-69.2181,39.25,52,0,16.11,clear sky
477,Atar,MR,20.5169,-13.0499,84.31,16,59,5.55,broken clouds
478,Encruzilhada,BR,-15.5314,-40.9094,62.64,98,81,3.83,broken clouds
479,Kotaparh,IN,19.15,82.35,74.61,62,3,9.62,clear sky
480,Pusad,IN,19.9,77.5833,75.07,73,88,9.62,overcast clouds
481,Urumqi,CN,43.801,87.6005,54.55,41,0,2.24,clear sky
482,Madera,US,37.1666,-119.8343,77.23,36,48,1.01,scattered clouds
483,Atambua,ID,-9.1061,124.8925,87.15,58,36,4.68,scattered clouds
484,Hami,CN,42.8,93.45,55.74,30,5,8.14,clear sky
485,Kysyl-Syr,RU,63.8986,122.7617,26.11,86,93,7.61,overcast clouds
486,Acari,PE,-15.4311,-74.6158,63.77,74,50,3.27,scattered clouds
487,Russell,US,32.3502,-85.1999,45.63,93,0,0.0,clear sky
488,Ketchikan,US,55.3422,-131.6461,46.87,93,100,0.0,overcast clouds
489,Adeje,ES,28.1227,-16.726,68.11,62,20,8.05,few clouds
490,Nampula,MZ,-15.1165,39.2666,69.75,78,20,5.75,few clouds
491,Gimli,CA,50.6336,-96.9907,50.02,81,100,4.61,overcast clouds
492,Kyzyl,RU,51.7,94.45,38.91,40,100,2.8,overcast clouds
493,Sal Rei,CV,16.1833,-22.9167,76.82,84,23,8.46,few clouds
494,Thinadhoo,MV,0.5333,72.9333,82.24,74,100,11.77,overcast clouds
495,Shar,KZ,49.5886,81.0453,53.13,38,100,16.35,overcast clouds
496,Namie,JP,37.4833,141.0,72.99,54,70,1.01,broken clouds
497,Biloela,AU,-24.4167,150.5,81.82,53,77,11.05,broken clouds
498,Trojes,AL,41.756,19.962,51.57,58,1,6.04,clear sky
499,Karaton,ID,-6.3424,106.1045,79.2,82,100,4.41,light rain
500,Aylesbury,GB,51.8167,-0.8146,55.06,98,74,7.38,broken clouds
501,Atasu,KZ,48.6814,71.6433,48.9,39,100,9.1,overcast clouds
502,Saint-Francois,FR,46.4154,3.9054,58.68,100,100,9.22,overcast clouds
503,Beyneu,KZ,45.3167,55.2,58.28,70,25,5.95,scattered clouds
504,Japura,ID,-0.3167,102.35,91.94,52,55,2.95,broken clouds
505,Adre,TD,13.4667,22.2,77.5,28,100,8.77,overcast clouds
506,Xuddur,SO,4.1213,43.8894,71.92,82,29,11.54,scattered clouds
507,Bantou,CN,26.2151,117.4893,82.96,31,40,5.3,scattered clouds
508,Napasar,IN,27.9667,73.55,84.94,25,0,11.12,clear sky
509,Biak,ID,-0.9131,122.8766,85.87,60,64,1.66,broken clouds
510,Guaruja,BR,-23.9931,-46.2564,71.31,89,68,2.91,broken clouds
511,San Patricio,US,28.017,-97.5169,73.26,59,0,9.89,clear sky
512,Preston,GB,53.7667,-2.7167,52.92,94,69,7.23,broken clouds
513,Westport,US,41.1415,-73.3579,58.82,64,0,12.66,clear sky
514,Puerto Palomas,MX,31.7667,-107.6167,65.19,47,0,4.74,clear sky
515,Mindelo,CV,16.8901,-24.9804,76.55,78,20,10.36,few clouds
516,Albury,AU,-36.0833,146.9167,71.15,100,75,5.75,thunderstorm
517,Baherden,TM,38.4362,57.4316,80.28,18,62,5.84,broken clouds
518,Edd,ER,13.9297,41.6925,86.52,46,0,9.53,clear sky
519,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.01,72,40,3.44,scattered clouds
520,Bilma,NE,18.6853,12.9164,69.42,27,2,9.35,clear sky
521,Ayrum,AM,41.1898,44.9014,54.37,90,97,3.15,overcast clouds
522,Kiunga,PG,-6.1219,141.2906,86.13,68,87,2.42,overcast clouds
523,Sao Joao De Pirabas,BR,-0.7747,-47.1772,77.05,86,21,4.63,few clouds
524,Narsaq,GL,60.9167,-46.05,32.22,70,100,8.79,overcast clouds
525,Llanes,ES,43.4198,-4.7549,64.89,66,77,9.75,broken clouds
526,Beringovskiy,RU,63.05,179.3167,35.83,82,83,9.22,broken clouds
527,Tautira,PF,-17.7333,-149.15,77.31,80,55,18.16,light rain
528,Abu Zabad,SD,12.35,29.25,77.5,56,15,3.89,few clouds
529,Quatre Cocos,MU,-20.2078,57.7625,75.09,75,39,11.52,scattered clouds
530,Manado,ID,1.487,124.8455,88.57,70,40,3.44,scattered clouds
531,Bakel,SN,14.905,-12.4568,82.6,53,77,5.75,broken clouds
532,Tomatlan,MX,19.9333,-105.25,75.36,96,34,4.12,scattered clouds
533,Kolyvan,RU,55.3053,82.7391,42.42,81,30,7.81,scattered clouds
534,Caibiran,PH,11.5717,124.5822,86.9,66,91,0.56,overcast clouds
535,Flinders,AU,-34.5833,150.8552,70.88,86,100,5.39,light rain
536,Gonen,TR,40.1049,27.654,55.36,41,1,13.47,clear sky
537,Richards Bay,ZA,-28.783,32.0377,71.1,90,100,9.82,light rain
538,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.61,40,83,3.71,broken clouds
539,Saint Augustine,US,29.8947,-81.3145,57.0,76,0,5.75,clear sky
540,Calbuco,CL,-41.768,-73.1273,43.81,75,35,16.35,scattered clouds
541,Isangel,VU,-19.55,169.2667,80.71,74,75,9.22,broken clouds
542,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,5.75,clear sky
543,Phuket,TH,8.0,98.25,84.42,82,75,8.05,light rain
544,Miri,MY,4.4148,114.0089,86.14,74,40,4.61,scattered clouds
545,Sistranda,NO,63.7256,8.834,37.36,75,7,18.01,clear sky
546,Talcahuano,CL,-36.7167,-73.1167,51.48,87,100,14.97,overcast clouds
547,Ozu,JP,33.5,132.55,73.02,56,41,4.63,scattered clouds
548,Svetlogorsk,BY,52.6333,29.7333,39.65,90,100,4.63,overcast clouds
549,Bud,US,39.447,-86.1758,48.15,53,7,9.33,clear sky
550,Kapit,MY,2.0167,112.9333,93.33,50,63,1.57,broken clouds
551,Hadejia,NG,12.4498,10.0444,75.69,23,82,8.19,broken clouds
552,Sulangan,PH,11.1373,123.7228,83.34,71,91,0.31,overcast clouds
553,Shingu,JP,33.7333,135.9833,69.73,53,4,3.31,clear sky
554,Ruhengeri,RW,-1.4998,29.635,57.52,89,93,0.45,overcast clouds
555,Bartica,GY,6.4,-58.6167,77.32,96,83,2.08,broken clouds
556,San Cristobal,VE,7.7669,-72.225,69.98,92,100,1.45,overcast clouds
557,Sharan,RU,54.8167,54.0,33.87,81,5,2.57,clear sky
558,Santa Maria,BR,-29.6842,-53.8069,64.87,97,94,6.8,overcast clouds
559,Izvestkovyy,RU,48.9833,131.55,38.19,95,100,1.59,light rain
560,Tateyama,JP,34.9833,139.8667,69.22,55,2,13.85,clear sky
561,Otjiwarongo,NA,-20.4637,16.6477,73.8,38,98,10.83,overcast clouds
562,Vicksburg,US,32.3526,-90.8779,58.73,58,100,8.05,overcast clouds
563,Valdivia,CL,-39.8142,-73.2459,48.29,77,99,2.77,overcast clouds
564,Moree,AU,-29.4667,149.85,69.82,78,75,20.71,moderate rain
565,Mabaruma,GY,8.2,-59.7833,74.61,91,24,2.15,few clouds
566,Lasem,ID,-6.6922,111.4527,86.58,65,100,3.49,overcast clouds
567,Muros,ES,42.7762,-9.0603,60.84,87,66,22.1,broken clouds
568,Tuatapere,NZ,-46.1333,167.6833,50.76,52,51,6.85,broken clouds
569,Tabuk,PH,17.4189,121.4443,75.7,93,100,0.94,overcast clouds
570,Bundaberg,AU,-24.85,152.35,80.22,80,37,8.01,scattered clouds
571,Jardim,BR,-21.4803,-56.1381,69.17,98,96,3.02,overcast clouds
572,Candolim,IN,15.5181,73.7626,81.66,76,92,2.84,overcast clouds
573,Suraabad,AZ,40.8192,49.4687,63.32,77,11,23.49,few clouds
574,Spencer,US,43.1414,-95.1444,51.57,56,0,5.75,clear sky
575,Tamandare,BR,-8.7597,-35.1047,73.74,80,2,5.7,clear sky
576,Nurota,UZ,40.5614,65.6886,64.06,13,7,2.93,clear sky
577,Saint-Louis,SN,16.3333,-15.0,82.08,64,0,10.18,clear sky
578,Abu Dhabi,AE,24.4667,54.3667,82.96,80,0,5.75,clear sky
579,Ouadda,CF,8.0777,22.4007,67.12,94,91,1.74,light rain
580,Emerald,AU,-23.5333,148.1667,74.34,78,75,18.41,moderate rain
581,Oktyabrskiy,RU,54.4815,53.471,34.29,80,9,1.57,clear sky
582,Mineral Wells,US,32.8085,-98.1128,66.65,41,0,0.0,clear sky
583,Jansath,IN,29.3333,77.85,75.74,62,3,6.24,clear sky
584,Nassau,US,40.7507,-73.5829,55.65,64,0,4.61,clear sky
585,Arivonimamo,MG,-19.0167,47.1833,62.65,68,85,8.84,overcast clouds
586,San Pedro,PH,14.35,121.0167,90.63,62,75,3.44,broken clouds
587,Kabompo,ZM,-13.5927,24.2008,66.6,43,89,3.89,overcast clouds
588,Nacala,MZ,-14.5428,40.6728,76.6,74,18,6.85,few clouds
589,Mandali,IQ,33.7499,45.5541,76.6,23,97,6.46,overcast clouds
590,Laguna,US,38.421,-121.4238,73.18,55,0,0.0,clear sky
591,Xining,CN,36.6167,101.7667,50.85,58,82,2.8,broken clouds
592,Cherkasskoye,RU,52.4333,47.2167,40.26,75,98,11.92,overcast clouds
593,Mashhad,IR,36.297,59.6062,59.14,63,0,0.0,clear sky
594,Gaurnadi,BD,22.9667,90.2333,83.98,64,0,8.95,clear sky
595,Banda Aceh,ID,5.5577,95.3222,81.18,77,100,15.73,light rain
596,Shangzhi,CN,45.2167,127.9667,61.81,52,63,21.74,broken clouds
597,Birao,CF,10.2849,22.7882,72.64,74,86,2.08,overcast clouds
598,Shimoda,JP,34.6667,138.95,73.76,53,4,10.16,clear sky
599,Areia Branca,BR,-4.9561,-37.1369,75.54,72,67,17.52,broken clouds
600,Liaozhong,CN,41.5061,122.7242,67.05,47,71,17.22,broken clouds
601,Litovko,RU,49.2361,135.1742,46.94,56,100,6.91,overcast clouds
602,Hibbing,US,47.4272,-92.9377,45.82,57,0,0.0,clear sky
603,Nepomuceno,BR,-21.2358,-45.2358,65.19,87,99,3.62,overcast clouds
604,Haines Junction,CA,60.7522,-137.5108,33.75,86,100,1.14,overcast clouds
605,Williamsburg,US,37.2707,-76.7075,51.55,86,0,5.75,clear sky
606,Denpasar,ID,-8.65,115.2167,87.46,79,20,9.22,light rain
607,Opuwo,NA,-18.0607,13.84,70.9,36,32,3.2,scattered clouds
608,Niquelandia,BR,-14.4739,-48.4597,81.37,30,99,2.08,overcast clouds
609,Kaitangata,NZ,-46.2817,169.8464,53.6,46,80,11.97,broken clouds
610,Whitehorse,CA,60.7161,-135.0538,39.97,70,75,6.91,broken clouds
611,Esmeraldas,BR,-19.7625,-44.3139,67.12,82,68,7.05,broken clouds
612,Ilulissat,GL,69.2167,-51.1,21.22,73,75,2.3,broken clouds
613,Bac Lieu,VN,9.285,105.7244,84.06,75,84,15.14,light rain
614,Sape,BR,-7.0964,-35.2328,69.26,79,16,6.62,few clouds
615,Cleveland,US,41.4995,-81.6954,46.85,46,0,13.8,clear sky
616,Waingapu,ID,-9.6567,120.2641,87.66,63,77,8.88,broken clouds
617,Ordzhonikidze,KZ,52.4411,61.7408,47.1,56,100,9.4,overcast clouds
618,Batangafo,CF,7.3008,18.2833,70.43,97,100,1.61,overcast clouds
619,Itarema,BR,-2.9248,-39.9167,78.04,83,79,14.74,broken clouds
620,Mehamn,NO,71.0357,27.8492,37.31,80,40,16.11,scattered clouds
621,Macenta,GN,8.5435,-9.471,66.0,97,95,0.18,overcast clouds
622,Hengshui,CN,37.7322,115.7011,70.75,33,4,6.22,clear sky
623,Shelburne,CA,44.0787,-80.2041,36.36,97,99,10.98,overcast clouds
624,Otane,NZ,-39.8833,176.6333,52.02,62,100,8.57,overcast clouds
625,Pandan,PH,14.0453,124.1694,83.86,80,100,2.77,overcast clouds
626,Nea Pella,GR,40.7661,22.4856,58.05,50,0,4.52,clear sky
627,Paris,FR,48.8534,2.3488,61.38,96,75,9.22,broken clouds
628,Ulaanbaatar,MN,47.9077,106.8832,37.53,60,40,4.47,scattered clouds
629,Lima,PE,-12.0432,-77.0282,59.9,85,100,8.05,overcast clouds
630,Fomboni,KM,-12.28,43.7425,77.43,72,99,16.17,overcast clouds
631,Coruripe,BR,-10.1256,-36.1756,73.22,79,1,7.87,clear sky
632,Goundam,ML,16.4145,-3.6708,85.96,19,89,7.16,overcast clouds
633,Ovalle,CL,-30.5983,-71.2003,61.32,59,0,1.3,clear sky
634,Savannah Bight,HN,16.45,-85.85,80.56,76,53,1.99,moderate rain
635,Gizo,SB,-8.103,156.8419,83.84,71,93,2.68,moderate rain
636,Debre Tabor,ET,11.85,38.0167,49.5,73,6,5.86,clear sky
637,Nuuk,GL,64.1835,-51.7216,30.81,86,100,11.72,light snow
638,Pacific Grove,US,36.6177,-121.9166,57.2,93,100,5.99,overcast clouds
639,Peachtree City,US,33.3968,-84.5958,47.59,78,0,0.0,clear sky
640,Ekibastuz,KZ,51.6667,75.3667,52.79,42,100,18.97,overcast clouds
641,Kasane,BW,-17.8167,25.15,64.49,55,0,10.36,clear sky
642,Honggang,CN,46.4667,124.8667,55.63,50,0,17.34,clear sky
643,Altay,CN,47.8667,88.1167,43.43,56,98,4.14,overcast clouds
644,Saint-Pierre,RE,-21.3393,55.4781,74.88,69,75,12.66,broken clouds
645,Varadero,CU,23.1536,-81.2514,72.36,71,84,12.62,broken clouds
646,Skibotn,NO,69.3913,20.2679,32.81,90,84,9.33,broken clouds
647,Mangrol,IN,21.1167,70.1167,84.4,55,2,7.94,clear sky
648,Kostinbrod,BG,42.8167,23.2167,33.78,82,0,2.35,clear sky
649,Kerman,IR,30.2832,57.0788,51.66,35,0,4.61,clear sky
650,Kazanskoye,RU,55.6448,69.235,40.93,80,95,7.18,overcast clouds
651,Show Low,US,34.2542,-110.0298,52.09,57,0,11.5,clear sky
652,Tieling,CN,42.2931,123.8414,66.31,51,31,19.98,scattered clouds
653,Kiama,AU,-34.6833,150.8667,71.08,86,100,11.99,light rain
654,Lima Duarte,BR,-21.8425,-43.7931,67.5,95,52,2.37,broken clouds
655,Campbell River,CA,50.0163,-125.2446,53.13,37,75,11.5,broken clouds
656,Micheweni,TZ,-4.9667,39.8333,75.04,79,86,7.7,overcast clouds
657,Ruteng,ID,-8.6136,120.4721,77.9,58,53,1.01,broken clouds
658,Helena,US,46.5927,-112.0361,60.62,39,100,5.75,overcast clouds
659,Dom Pedrito,BR,-30.9828,-54.6731,63.9,99,100,2.04,overcast clouds
660,Passo De Camaragibe,BR,-9.2368,-35.4901,70.03,89,4,0.45,clear sky
661,Sarkand,KZ,45.41,79.9186,57.06,28,73,3.74,broken clouds
